
instance time incumbent bks
==========Running script at 2025-12-18 20:49:26==========
bur26e 41.52 5388238.0 5386879 0.0003
bur26f 41.51 3783232.0 3782044 0.0003
bur26g 41.50 10121398.0 10117172 0.0004
bur26h 41.51 7101070.0 7098658 0.0003
chr12a 17.54 10096.0 9552 0.0570
chr12b 17.63 9742.0 9742 0.0000
chr12c 17.54 11186.0 11156 0.0027
chr15a 20.33 9936.0 9896 0.0040
chr15b 20.31 8990.0 7990 0.1252
chr15c 20.28 9504.0 9504 0.0000
chr18a 26.25 11098.0 11098 0.0000
chr18b 26.34 1534.0 1534 0.0000
chr20a 30.55 2392.0 2192 0.0912
chr20b 30.53 2516.0 2298 0.0949
chr20c 30.60 14142.0 14142 0.0000
chr22a 33.35 6528.0 6156 0.0604
chr22b 33.28 6554.0 6194 0.0581
chr25a 39.30 4206.0 3796 0.1080
els19 28.53 18035350.0 17212548 0.0478
esc128 1394.64 64.0 64 0.0000
esc16a 22.23 68.0 68 0.0000
esc16b 22.18 292.0 292 0.0000
esc16c 22.25 160.0 160 0.0000
esc16d 22.20 16.0 16 0.0000
esc16e 22.17 28.0 28 0.0000
esc16g 22.19 26.0 26 0.0000
esc16h 22.15 996.0 996 0.0000
esc16i 22.16 14.0 14 0.0000
esc16j 22.16 8.0 8 0.0000
esc32e 62.86 2.0 2 0.0000
esc32g 62.79 6.0 6 0.0000
had12 17.54 1652.0 1652 0.0000
had14 18.83 2724.0 2724 0.0000
had16 22.18 3720.0 3720 0.0000
had18 26.30 5360.0 5358 0.0004
had20 30.60 6924.0 6922 0.0003
kra30a 49.94 88900.0 88900 0.0000
kra30b 49.80 91830.0 91420 0.0045
kra32 62.69 88700.0 88700 0.0000
lipa20a 30.64 3683.0 3683 0.0000
lipa20b 30.57 27076.0 27076 0.0000
lipa30a 49.95 13178.0 13178 0.0000
lipa30b 49.95 151426.0 151426 0.0000
lipa40a 102.46 31920.0 31538 0.0121
lipa40b 102.37 476581.0 476581 0.0000
lipa50a 165.30 62718.0 62093 0.0101
